timepoint,mean_asd,std_asd,mean_tdc,std_tdc,is_top_asd,is_top_tdc
0,4.828553e-06,2.948874e-07,4.8419024e-06,5.755498e-07,False,False
1,5.2916125e-06,5.1969516e-07,5.1748893e-06,4.7379933e-07,False,False
2,5.7654856e-06,1.4244226e-07,5.589204e-06,3.4016261e-07,False,False
3,6.6748385e-06,4.975325e-07,6.407698e-06,4.5603906e-07,False,False
4,6.9384246e-06,5.7576267e-07,6.6449893e-06,3.7852172e-07,False,False
5,6.886056e-06,8.9134323e-07,7.095977e-06,4.532777e-07,False,False
6,7.204305e-06,8.137618e-07,6.997423e-06,5.532228e-07,False,False
7,7.1456207e-06,5.014642e-07,6.9712382e-06,5.215603e-07,False,False
8,7.0779483e-06,4.339874e-07,6.977477e-06,7.921725e-07,False,False
9,7.297624e-06,4.487314e-07,7.147387e-06,5.6455593e-07,False,False
10,7.1422173e-06,1.1668967e-07,7.010057e-06,8.608486e-07,False,False
11,7.239465e-06,1.8507173e-07,6.615263e-06,5.880397e-07,False,False
12,7.4129675e-06,1.2930441e-07,6.5188824e-06,7.066201e-07,False,False
13,7.2833054e-06,5.600654e-07,6.9271164e-06,8.0068355e-07,False,False
14,7.5363632e-06,2.1812812e-07,6.8440495e-06,9.3820006e-07,True,False
15,7.070664e-06,1.2198745e-07,6.5233107e-06,6.5954055e-07,False,False
16,7.3158067e-06,6.600814e-07,7.06202e-06,1.1132065e-06,False,False
17,7.3018696e-06,3.8642395e-07,6.968353e-06,6.8458024e-07,False,False
18,7.237998e-06,4.2131248e-07,6.928933e-06,5.79516e-07,False,False
19,7.3468227e-06,2.7025496e-07,6.894171e-06,9.710474e-07,False,False
20,7.2419452e-06,7.805925e-07,6.79293e-06,8.69119e-07,False,False
21,7.475498e-06,3.1642796e-07,7.028375e-06,8.018488e-07,True,False
22,6.674409e-06,5.19743e-07,7.1591385e-06,7.2718416e-07,False,False
23,7.609441e-06,6.055684e-07,7.0798314e-06,7.92018e-07,True,False
24,7.2609096e-06,5.8522716e-07,6.853958e-06,6.9304355e-07,False,False
25,7.340549e-06,6.121208e-07,7.0596643e-06,6.508734e-07,False,False
26,7.3344054e-06,5.7724384e-07,7.27917e-06,8.8057146e-07,False,True
27,7.0951246e-06,3.5886254e-07,6.898391e-06,7.630267e-07,False,False
28,6.869714e-06,3.3836233e-07,6.8710624e-06,7.0137554e-07,False,False
29,7.3131514e-06,4.9887683e-07,6.7158157e-06,6.9971844e-07,False,False
30,7.3096044e-06,6.774342e-07,7.28278e-06,7.1780636e-07,False,True
31,7.227309e-06,2.3438922e-07,6.913837e-06,4.801424e-07,False,False
32,7.1952213e-06,3.538267e-07,7.049867e-06,6.1223966e-07,False,False
33,7.2823045e-06,2.8953266e-07,7.144623e-06,4.1963773e-07,False,False
34,7.2907014e-06,5.273713e-07,7.3400224e-06,7.6918496e-07,False,True
35,7.097589e-06,4.7181882e-07,6.822395e-06,9.460106e-07,False,False
36,7.311343e-06,6.180538e-07,7.026892e-06,7.056261e-07,False,False
37,7.453657e-06,4.4347848e-07,7.134503e-06,4.7524918e-07,True,False
38,7.5147955e-06,6.4887166e-07,6.7686606e-06,6.831655e-07,True,False
