timepoint,mean_asd,std_asd,mean_tdc,std_tdc,is_top_asd,is_top_tdc
0,5.0621593e-06,3.805177e-07,4.7172143e-06,2.1901992e-07,False,False
1,5.5662435e-06,5.5225314e-07,5.203888e-06,3.0695327e-07,False,False
2,6.26336e-06,4.2565435e-07,5.934496e-06,3.304393e-07,False,False
3,6.7992232e-06,1.0028511e-06,6.7215797e-06,5.6183836e-07,False,False
4,7.05615e-06,6.957477e-07,6.818682e-06,5.351907e-07,False,False
5,7.2686753e-06,5.1882915e-07,7.5132266e-06,6.7001383e-07,False,False
6,7.701941e-06,5.7099203e-07,7.530131e-06,9.376534e-07,True,False
7,7.276344e-06,5.112361e-07,7.565696e-06,8.476639e-07,False,False
8,7.295433e-06,2.2423836e-07,7.1573872e-06,8.6507794e-07,False,False
9,7.411238e-06,3.7959325e-07,7.125833e-06,6.6845195e-07,False,False
10,7.646283e-06,6.7108056e-07,7.552221e-06,8.9595324e-07,True,False
11,7.2818775e-06,3.5007568e-07,7.4852323e-06,5.0866777e-07,False,False
12,7.795082e-06,7.78344e-07,6.992629e-06,6.5142126e-07,True,False
13,7.575289e-06,5.87043e-07,7.2296157e-06,8.527104e-07,False,False
14,7.77939e-06,4.1138568e-07,7.321006e-06,7.158314e-07,True,False
15,7.3806864e-06,4.1722788e-07,6.890829e-06,7.313651e-07,False,False
16,7.7248405e-06,7.35083e-07,7.5212315e-06,9.301363e-07,True,False
17,7.2477437e-06,2.6207564e-07,7.837959e-06,1.1775121e-06,False,True
18,7.782429e-06,7.1589227e-07,7.697452e-06,7.1044235e-07,True,True
19,7.650441e-06,5.953103e-07,7.4431177e-06,7.553582e-07,True,False
20,7.4988216e-06,6.5802294e-07,7.2518137e-06,6.6809855e-07,False,False
21,7.450087e-06,3.6572408e-07,7.1594163e-06,9.73675e-07,False,False
22,7.325576e-06,6.1120363e-07,7.7465365e-06,1.1730976e-06,False,True
23,7.409833e-06,3.6278172e-07,7.88292e-06,1.0050255e-06,False,True
24,7.202384e-06,4.3872657e-07,7.4868744e-06,9.094609e-07,False,False
25,7.564527e-06,3.820764e-07,7.673188e-06,8.1859474e-07,False,True
26,7.924548e-06,5.220927e-07,7.791718e-06,8.661572e-07,True,True
27,7.7034365e-06,7.678723e-07,7.0812894e-06,1.1691319e-06,True,False
