roi_index,count,weight
117,351,0.0116746845
234,310,0.010895553
237,293,0.010462515
49,286,0.010453234
106,252,0.0096561005
8,222,0.009267498
180,217,0.009204865
140,215,0.009232013
122,170,0.0080270665
66,150,0.007840963
4,145,0.007866951
168,141,0.0074983696
185,139,0.007976705
145,131,0.007609425
224,129,0.0073467954
93,127,0.0074885217
33,127,0.007738286
133,124,0.0074213003
219,120,0.00731859
73,111,0.007329704
39,103,0.0066510173
38,101,0.0069787162
15,100,0.0067358552
45,100,0.0068879277
137,99,0.006626581
70,91,0.0068106772
68,90,0.006608507
54,85,0.0065007224
172,85,0.0064426623
241,81,0.005792704
130,80,0.0061583733
221,79,0.00647898
22,78,0.006336582
78,71,0.006236364
12,70,0.006346434
114,68,0.00582924
160,66,0.0060043256
214,63,0.0058267284
56,59,0.0056018904
25,58,0.005892252
135,54,0.005561531
105,54,0.005856886
82,46,0.005429537
163,46,0.0050961417
138,45,0.0049870387
216,45,0.0051923865
240,43,0.0056946985
129,42,0.005415742
96,40,0.005020473
169,40,0.004920316
120,40,0.005400081
189,40,0.0049970103
186,39,0.0046714023
71,38,0.005103445
37,37,0.0053181536
46,36,0.0051934253
151,35,0.005033697
16,35,0.0051881066
179,33,0.005149944
243,33,0.005382958
41,31,0.004840696
86,31,0.0048364666
203,29,0.0046905186
1,29,0.004589316
14,28,0.005100777
27,28,0.0047947275
80,28,0.0048844204
183,27,0.0044452036
187,25,0.0045992364
40,25,0.004609209
107,23,0.0044195093
94,21,0.004720294
110,21,0.004375384
230,20,0.0039871917
44,20,0.0041916496
17,20,0.0041042534
200,19,0.0046733944
58,19,0.003938881
154,19,0.0042108754
202,18,0.0043551465
213,18,0.00445503
2,17,0.0039918288
239,17,0.0046514855
223,15,0.0042389273
201,14,0.004220118
6,14,0.004015635
188,14,0.0042121746
170,13,0.0043406226
31,13,0.0041148555
79,13,0.003638071
64,13,0.0038209883
19,13,0.0038209744
30,12,0.0036135379
34,12,0.0041963547
157,12,0.004117502
176,11,0.0036301245
60,11,0.0038458435
99,11,0.0036682973
144,11,0.0038863546
199,11,0.0041263876
116,10,0.004147993
206,10,0.0041312813
48,10,0.0035587153
28,10,0.0037266237
159,10,0.003683599
233,10,0.0033244092
150,9,0.003811418
195,9,0.003367878
72,9,0.0038575812
196,9,0.0033968927
162,9,0.0034718984
231,8,0.0041024974
26,8,0.004212342
194,8,0.004119444
228,8,0.0038473057
155,8,0.004231218
43,8,0.0037317618
51,8,0.0039748996
190,7,0.0041106925
232,7,0.0039823833
53,7,0.003855388
222,7,0.0034895267
76,7,0.0034723347
136,7,0.0034079484
192,7,0.0039300225
143,7,0.00354654
212,6,0.003076918
215,6,0.003735649
101,6,0.0030349183
97,6,0.0031333612
63,5,0.0033077816
91,5,0.0030306568
102,5,0.0035741508
29,5,0.0031792894
32,5,0.003598233
42,5,0.0031639931
3,5,0.0030949079
95,4,0.0033488444
177,4,0.003173467
193,4,0.0036377462
18,4,0.0023778924
142,4,0.0030447943
5,4,0.003384068
244,4,0.0025805659
83,4,0.0033686655
211,4,0.0032911862
35,4,0.002902147
141,4,0.0031913277
225,4,0.0029028503
108,3,0.0036149218
59,3,0.0028303966
161,3,0.0036429681
207,3,0.0029219403
149,3,0.0029014668
229,3,0.0033115433
210,3,0.002758305
127,3,0.0026832637
123,3,0.0027739124
165,3,0.0033436578
126,3,0.0028476715
174,3,0.0029525664
166,3,0.003485017
209,3,0.0025528297
153,3,0.0035844585
139,3,0.0033668848
118,2,0.0032298286
20,2,0.0027066616
13,2,0.0033343602
147,2,0.002646784
115,2,0.0028490452
204,2,0.003393421
87,2,0.0026940943
238,2,0.0025689565
36,2,0.0026686057
131,2,0.003305498
198,2,0.002420792
113,2,0.0031068174
69,2,0.0029855354
67,2,0.003412335
208,2,0.0029354442
132,1,0.0025344102
205,1,0.0025059076
85,1,0.0020352863
178,1,0.0026940363
152,1,0.0025190953
100,1,0.0028296085
125,1,0.0024142335
242,1,0.0025736499
57,1,0.002659106
191,1,0.0028353566
175,1,0.0025100487
24,1,0.0022481664
75,1,0.0034569667
124,1,0.0025609646
184,1,0.0026266598
111,1,0.0034776535
156,1,0.0024625016
0,1,0.0033235243
226,1,0.003044819
121,1,0.0028350537
84,1,0.0024822734
146,1,0.002348916
119,1,0.0021416147
148,1,0.002198933
