roi_index,count,weight
118,290,0.0104643935
173,280,0.010359652
73,228,0.009309942
241,214,0.008879265
8,204,0.008797657
19,201,0.0087863
93,200,0.008757288
15,188,0.008489142
189,171,0.008065874
186,167,0.008183626
117,162,0.007899705
133,151,0.0076649236
214,142,0.007901876
22,128,0.007372052
162,127,0.007437578
90,126,0.007056341
108,121,0.007197106
237,121,0.0068101822
28,119,0.0069781602
153,110,0.007114841
39,110,0.0068089426
239,109,0.0068337764
106,108,0.0069539174
168,103,0.006849769
167,103,0.0067470847
79,101,0.0068983277
208,93,0.0067431307
229,92,0.006411142
3,87,0.0063098003
82,81,0.0060515413
45,81,0.005924593
24,79,0.006481193
54,75,0.005850956
209,75,0.006325947
64,73,0.0064147287
140,71,0.00610129
201,70,0.0055407123
177,65,0.005758006
123,59,0.0059129093
50,55,0.005684517
55,52,0.0058120256
216,51,0.005655632
180,51,0.0055955234
215,49,0.0054785362
33,49,0.005260254
143,48,0.0055527487
187,48,0.0053383065
234,46,0.0050364365
166,43,0.0053186296
0,41,0.0050589964
12,41,0.005115232
210,41,0.005262914
244,40,0.005016052
203,40,0.0054361485
161,39,0.0049374145
100,38,0.005024797
16,38,0.0051907185
60,37,0.00491559
44,37,0.004521791
58,33,0.004659957
233,33,0.0047325967
159,31,0.0046073147
198,30,0.004989856
66,29,0.004853116
134,29,0.0047794096
78,28,0.004393725
136,28,0.004461417
20,27,0.004683965
172,27,0.004946378
171,26,0.0052330485
122,25,0.0047561964
147,24,0.0041612326
179,23,0.0045163473
10,23,0.004798622
204,22,0.0040472792
205,22,0.0046301577
37,21,0.0043576425
151,21,0.004463874
137,20,0.0047405916
2,20,0.004340599
154,19,0.0043850974
48,19,0.0046018087
156,18,0.004513141
139,18,0.004025895
127,18,0.0044914996
91,17,0.0042126873
97,17,0.0043451446
160,17,0.004041463
121,16,0.0043284902
32,16,0.0039739097
236,16,0.004376207
70,16,0.0039309002
111,16,0.0039414093
157,15,0.0043845195
163,15,0.003934363
96,14,0.003945005
184,14,0.0038142973
43,14,0.004196958
72,14,0.0039696624
211,13,0.0043369774
199,13,0.0042527015
6,13,0.0037954429
86,12,0.0035007235
40,12,0.0041858237
42,12,0.0038720225
95,10,0.003452739
212,10,0.0035091857
178,10,0.0037529995
62,10,0.0039811735
107,10,0.004000945
183,10,0.0040442552
128,10,0.0037180898
144,9,0.0036397188
131,9,0.0035830508
101,9,0.0036291396
38,8,0.0038538177
81,8,0.003872325
52,8,0.003213856
164,8,0.004099764
120,8,0.0036811214
230,8,0.0036323578
150,8,0.0036724997
195,8,0.003876807
141,8,0.0033524835
130,7,0.0033062682
27,7,0.0035070889
185,7,0.0035889884
192,7,0.00380743
34,7,0.0036003625
23,7,0.0036260455
76,7,0.0035090225
132,7,0.003625465
191,6,0.0034941991
80,6,0.0030891846
74,6,0.0034268845
7,6,0.0029915164
87,6,0.003536515
85,6,0.003174421
56,6,0.0037205794
174,6,0.0034504181
17,6,0.0034760442
84,6,0.003639828
124,5,0.0028743015
13,5,0.0031514312
228,5,0.0034421424
94,5,0.0032544807
49,5,0.003088419
175,5,0.0036008225
145,5,0.0030075992
99,5,0.0035483232
155,5,0.003385309
41,5,0.0033672003
98,5,0.002931232
102,5,0.0031282057
115,5,0.0033265708
226,4,0.0029049641
224,4,0.0035139185
18,4,0.0034157434
21,4,0.00312299
36,4,0.0030339526
146,4,0.0030928398
194,4,0.003204202
4,4,0.0032290327
31,4,0.0033353858
129,4,0.003039839
219,4,0.003029408
232,4,0.0032105462
69,3,0.0028011138
222,3,0.002752351
113,3,0.0030947097
104,3,0.0030527734
105,3,0.0027731378
9,3,0.0028229714
65,3,0.0028602341
200,3,0.0035640756
112,3,0.00354258
149,3,0.0033630414
242,2,0.0027248715
218,2,0.0027280473
207,2,0.003434023
11,2,0.0025533973
77,2,0.0024725152
240,2,0.0026058382
190,2,0.0029598232
47,2,0.003240516
193,2,0.0031923228
170,2,0.002372434
126,2,0.0030856638
114,2,0.0025124848
182,2,0.0022907585
245,2,0.0024629033
63,2,0.0026806141
181,2,0.0017637217
231,2,0.0021993213
46,1,0.0020850922
75,1,0.0027557402
68,1,0.0029282959
223,1,0.0025580672
206,1,0.002066255
26,1,0.0024296304
53,1,0.0031732232
169,1,0.0025976775
89,1,0.0023619162
243,1,0.0021348228
61,1,0.002053855
59,1,0.0022699994
110,1,0.0019825061
119,1,0.0025772443
152,1,0.001980453
88,1,0.0023490062
57,1,0.0025956095
25,1,0.0026234211
92,1,0.0026188807
221,1,0.0027333116
138,1,0.0023646168
197,1,0.0017145082
165,1,0.0026780537
